間取り,面積
1,20.34486809575056
12LDK,53.2
12SLDK,75.95
1DK,29.511726206524667
1K,23.363425959063047
1LDK,41.51835318394092
1LK,31.509375
1SDK,38.91326530612245
1SK,27.110166666666668
1SLDK,56.34977642276423
1SLK,32.265
2DK,41.43389814118405
2K,31.99122774327122
2LDK,58.676715183246074
2LK,40.983333333333334
2SDK,54.75681818181818
2SK,43.54142857142857
2SLDK,78.31682337992376
3DK,55.502195622435025
3K,47.185181518151815
3LDK,78.9015819829717
3LK,50.0
3SDK,79.42916666666666
3SK,62.50444444444444
3SLDK,104.41817164179105
42DK,48.87
4DK,76.196796875
4K,66.4072972972973
4LDK,115.22975490196077
4SDK,95.4955
4SK,130.42
4SLDK,127.37758241758242
5DK,92.32233333333333
5K,92.473
5LDK,153.71629032258065
5SDK,76.22
5SLDK,230.59916666666666
6DK,107.74181818181819
6K,89.2
6LDK,129.02714285714285
6SK,106.24
6SLDK,226.72714285714287
7DK,161.13
7LDK,205.96636363636364
7SLDK,240.34888888888887
8LDK,340.0
